dia;formato;mes;dia_semana;du;sab;dom;ferias;tipo_dia;feriado;ptes;eventos
20151231;31/12/2015;12;5;1;0;0;1;evento;0;0;1
20160101;01/01/2016;1;6;1;0;0;1;feriado;1;0;0
20160102;02/01/2016;1;7;0;1;0;1;normal;0;0;0
20160103;03/01/2016;1;1;0;0;1;1;normal;0;0;0
20160104;04/01/2016;1;2;1;0;0;1;normal;0;0;0
20160105;05/01/2016;1;3;1;0;0;1;normal;0;0;0
20160106;06/01/2016;1;4;1;0;0;1;normal;0;0;0
20160107;07/01/2016;1;5;1;0;0;1;normal;0;0;0
20160108;08/01/2016;1;6;1;0;0;1;normal;0;0;0
20160109;09/01/2016;1;7;0;1;0;1;normal;0;0;0
20160110;10/01/2016;1;1;0;0;1;1;normal;0;0;0
20160111;11/01/2016;1;2;1;0;0;1;normal;0;0;0
20160112;12/01/2016;1;3;1;0;0;1;normal;0;0;0
20160113;13/01/2016;1;4;1;0;0;1;normal;0;0;0
20160114;14/01/2016;1;5;1;0;0;1;normal;0;0;0
20160115;15/01/2016;1;6;1;0;0;1;normal;0;0;0
20160116;16/01/2016;1;7;0;1;0;1;normal;0;0;0
20160117;17/01/2016;1;1;0;0;1;1;normal;0;0;0
20160118;18/01/2016;1;2;1;0;0;1;normal;0;0;0
20160119;19/01/2016;1;3;1;0;0;1;normal;0;0;0
20160120;20/01/2016;1;4;1;0;0;1;normal;0;0;0
20160121;21/01/2016;1;5;1;0;0;1;normal;0;0;0
20160122;22/01/2016;1;6;1;0;0;1;normal;0;0;0
20160123;23/01/2016;1;7;0;1;0;1;normal;0;0;0
20160124;24/01/2016;1;1;0;0;1;1;normal;0;0;0
20160125;25/01/2016;1;2;1;0;0;1;feriado;1;0;0
20160126;26/01/2016;1;3;1;0;0;1;normal;0;0;0
20160127;27/01/2016;1;4;1;0;0;1;normal;0;0;0
20160128;28/01/2016;1;5;1;0;0;1;normal;0;0;0
20160129;29/01/2016;1;6;1;0;0;1;normal;0;0;0
20160130;30/01/2016;1;7;0;1;0;1;normal;0;0;0
20160131;31/01/2016;1;1;0;0;1;1;normal;0;0;0
20160201;01/02/2016;2;2;1;0;0;1;normal;0;0;0
20160202;02/02/2016;2;3;1;0;0;1;normal;0;0;0
20160203;03/02/2016;2;4;1;0;0;1;normal;0;0;0
20160204;04/02/2016;2;5;1;0;0;1;normal;0;0;0
20160205;05/02/2016;2;6;1;0;0;1;normal;0;0;0
20160206;06/02/2016;2;7;0;1;0;1;evento;0;0;1
