;linha;sistema;onibus;noturna;trilhos;metro;cptm;linha_trilho;linha1;linha2;linha3;linha4;linha5;linha6;linha7;linha8;linha9;linha10;linha11;linha12;linha13;linha14;linha15;preemb;area;area1;area2;area3;area4;area5;area6;area7;area8;
99;1778-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1778-10'],label='1778-10')
100;177H-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['177H-10'],label='177H-10')
101;177H-21;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['177H-21'],label='177H-21')
102;177P-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['177P-10'],label='177P-10')
103;177Y-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['177Y-10'],label='177Y-10')
104;1780-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1780-10'],label='1780-10')
105;1782-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1782-10'],label='1782-10')
106;1783-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1783-10'],label='1783-10')
107;1783-22;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1783-22'],label='1783-22')
108;1783-41;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1783-41'],label='1783-41')
109;1785-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1785-10'],label='1785-10')
110;1786-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1786-10'],label='1786-10')
111;1787-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1787-10'],label='1787-10')
112;1788-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1788-10'],label='1788-10')
113;1788-51;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1788-51'],label='1788-51')
114;178A-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['178A-10'],label='178A-10')
115;178L-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['178L-10'],label='178L-10')
116;178T-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['178T-10'],label='178T-10')
117;178Y-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['178Y-10'],label='178Y-10')
118;178Y-21;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['178Y-21'],label='178Y-21')
119;179A-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['179A-10'],label='179A-10')
120;179X-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['179X-10'],label='179X-10')
121;1896-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['1896-10'],label='1896-10')
122;189L-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['189L-10'],label='189L-10')
123;199D-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;sns.distplot(diaLinha['199D-10'],label='199D-10')
124;2002-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;sns.distplot(diaLinha['2002-10'],label='2002-10')
125;2004-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['2004-10'],label='2004-10')
126;2005-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['2005-10'],label='2005-10')
127;2006-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;sns.distplot(diaLinha['2006-10'],label='2006-10')
